      Step     Time          Energy          fmax
BFGS:    0 14:56:40    -1171.728085        3.547034
BFGS:    1 14:56:45    -1175.747434        1.636967
BFGS:    2 14:56:50    -1176.502728        0.664830
BFGS:    3 14:56:55    -1177.097852        0.361032
BFGS:    4 14:56:59    -1177.208524        0.246797
BFGS:    5 14:57:04    -1177.298123        0.176233
BFGS:    6 14:57:09    -1177.321301        0.129747
BFGS:    7 14:57:14    -1177.337995        0.078748
BFGS:    8 14:57:19    -1177.345548        0.060309
BFGS:    9 14:57:25    -1177.352353        0.062556
BFGS:   10 14:57:33    -1177.356702        0.054623
BFGS:   11 14:57:41    -1177.361234        0.068034
BFGS:   12 14:57:48    -1177.367459        0.073382
BFGS:   13 14:57:56    -1177.375012        0.061043
BFGS:   14 14:58:04    -1177.381452        0.061304
BFGS:   15 14:58:11    -1177.386792        0.061190
BFGS:   16 14:58:19    -1177.392835        0.071743
BFGS:   17 14:58:27    -1177.399106        0.067111
BFGS:   18 14:58:34    -1177.403867        0.045073
BFGS:   19 14:58:43    -1177.405820        0.025596
BFGS:   20 14:58:51    -1177.406918        0.029553
BFGS:   21 14:58:59    -1177.408002        0.037037
BFGS:   22 14:59:07    -1177.409039        0.026240
BFGS:   23 14:59:14    -1177.409558        0.017539
BFGS:   24 14:59:22    -1177.409833        0.015669
BFGS:   25 14:59:30    -1177.410199        0.018322
BFGS:   26 14:59:39    -1177.410596        0.021956
BFGS:   27 14:59:46    -1177.411099        0.015778
BFGS:   28 14:59:54    -1177.411389        0.014620
BFGS:   29 15:00:02    -1177.411679        0.013962
BFGS:   30 15:00:10    -1177.412122        0.018367
BFGS:   31 15:00:16    -1177.412488        0.020565
BFGS:   32 15:00:24    -1177.412961        0.014103
BFGS:   33 15:00:31    -1177.413220        0.012194
BFGS:   34 15:07:04    -1177.413480        0.013068
BFGS:   35 15:07:09    -1177.413724        0.015818
BFGS:   36 15:07:14    -1177.413953        0.014965
BFGS:   37 15:07:19    -1177.414227        0.012820
BFGS:   38 15:07:24    -1177.414380        0.013970
BFGS:   39 15:07:29    -1177.414655        0.013660
BFGS:   40 15:07:35    -1177.414960        0.015562
