      Step     Time          Energy          fmax
BFGS:    0 15:52:00    -1190.029025       18.132759
BFGS:    1 15:52:05    -1194.887225       11.207427
BFGS:    2 15:52:08    -1196.292132       19.548609
BFGS:    3 15:52:12    -1197.615099        7.657270
BFGS:    4 15:52:15    -1198.517428        4.121074
BFGS:    5 15:52:18    -1198.951449        7.057940
BFGS:    6 15:52:22    -1199.279406        1.621482
BFGS:    7 15:52:25    -1199.485873        1.803546
BFGS:    8 15:52:28    -1199.827822        1.763400
BFGS:    9 15:52:31    -1200.011492        1.214017
BFGS:   10 15:52:34    -1200.108706        0.688911
BFGS:   11 15:52:38    -1200.165530        0.642806
BFGS:   12 15:52:41    -1200.231997        0.852511
BFGS:   13 15:52:44    -1200.269656        0.764559
BFGS:   14 15:52:47    -1200.307559        0.590602
BFGS:   15 15:52:50    -1200.354937        0.450066
BFGS:   16 15:52:53    -1200.396105        0.428121
BFGS:   17 15:52:56    -1200.422030        0.311592
BFGS:   18 15:52:59    -1200.436129        0.256835
BFGS:   19 15:53:02    -1200.446459        0.258363
BFGS:   20 15:53:05    -1200.456912        0.200747
BFGS:   21 15:53:08    -1200.466204        0.177924
BFGS:   22 15:53:12    -1200.473513        0.159449
BFGS:   23 15:53:15    -1200.479266        0.159190
BFGS:   24 15:53:18    -1200.484271        0.174521
BFGS:   25 15:53:21    -1200.488940        0.178625
BFGS:   26 15:53:25    -1200.493243        0.198406
BFGS:   27 15:53:28    -1200.497180        0.138364
BFGS:   28 15:53:31    -1200.500567        0.129373
BFGS:   29 15:53:34    -1200.503283        0.093327
BFGS:   30 15:53:38    -1200.505602        0.105029
BFGS:   31 15:53:41    -1200.507769        0.094331
BFGS:   32 15:53:44    -1200.509860        0.094128
BFGS:   33 15:53:48    -1200.511858        0.091279
BFGS:   34 15:53:51    -1200.513751        0.097839
BFGS:   35 15:53:54    -1200.515551        0.084894
BFGS:   36 15:53:57    -1200.517291        0.076034
BFGS:   37 15:54:00    -1200.518847        0.081775
BFGS:   38 15:54:04    -1200.520434        0.108775
BFGS:   39 15:54:07    -1200.521914        0.090923
BFGS:   40 15:54:10    -1200.523180        0.052880
BFGS:   41 15:54:14    -1200.524127        0.066308
BFGS:   42 15:54:17    -1200.525179        0.066896
BFGS:   43 15:54:20    -1200.526186        0.075852
BFGS:   44 15:54:24    -1200.527178        0.061229
BFGS:   45 15:54:27    -1200.527987        0.068604
BFGS:   46 15:54:30    -1200.528811        0.056135
BFGS:   47 15:54:34    -1200.529803        0.065001
BFGS:   48 15:54:37    -1200.530673        0.061791
BFGS:   49 15:54:41    -1200.531405        0.049691
      Step     Time          Energy          fmax
BFGS:    0 20:29:14    -1195.059145       16.163420
BFGS:    1 20:29:17    -1197.300234       19.180773
BFGS:    2 20:29:19    -1196.579348       37.402039
BFGS:    3 20:29:22    -1198.402453        9.491664
BFGS:    4 20:29:25    -1199.309573        5.102634
BFGS:    5 20:29:27    -1199.524188        3.544044
BFGS:    6 20:29:30    -1199.689120        1.217108
BFGS:    7 20:29:33    -1199.912951        1.594235
BFGS:    8 20:29:36    -1200.083315        1.616196
BFGS:    9 20:29:39    -1200.174044        0.772706
BFGS:   10 20:29:42    -1200.219943        0.648070
BFGS:   11 20:29:45    -1200.266238        0.750538
BFGS:   12 20:29:48    -1200.311373        0.721226
BFGS:   13 20:29:51    -1200.350710        0.678497
BFGS:   14 20:29:53    -1200.386935        0.485648
BFGS:   15 20:29:56    -1200.413363        0.294986
BFGS:   16 20:29:58    -1200.431780        0.403833
BFGS:   17 20:30:02    -1200.448275        0.406305
BFGS:   18 20:30:05    -1200.458071        0.221910
BFGS:   19 20:30:08    -1200.466021        0.159912
BFGS:   20 20:30:11    -1200.473208        0.281426
BFGS:   21 20:30:14    -1200.479342        0.281698
BFGS:   22 20:30:17    -1200.484271        0.190025
BFGS:   23 20:30:20    -1200.488375        0.135016
BFGS:   24 20:30:23    -1200.492388        0.185901
BFGS:   25 20:30:25    -1200.496493        0.202936
BFGS:   26 20:30:28    -1200.500170        0.155445
BFGS:   27 20:30:31    -1200.503253        0.145723
BFGS:   28 20:30:34    -1200.506274        0.142740
BFGS:   29 20:30:37    -1200.509280        0.139681
BFGS:   30 20:30:40    -1200.511706        0.103284
BFGS:   31 20:30:43    -1200.513598        0.113779
BFGS:   32 20:30:45    -1200.515368        0.109994
BFGS:   33 20:30:48    -1200.517169        0.121306
BFGS:   34 20:30:51    -1200.518923        0.097986
BFGS:   35 20:30:55    -1200.520556        0.097467
BFGS:   36 20:31:03    -1200.522051        0.141657
BFGS:   37 20:31:08    -1200.523669        0.135821
BFGS:   38 20:31:12    -1200.525210        0.082504
BFGS:   39 20:31:16    -1200.526614        0.065566
BFGS:   40 20:31:21    -1200.527819        0.101816
BFGS:   41 20:31:25    -1200.528887        0.101989
BFGS:   42 20:31:29    -1200.529788        0.061136
BFGS:   43 20:31:33    -1200.530688        0.053221
BFGS:   44 20:31:38    -1200.531359        0.067582
BFGS:   45 20:31:42    -1200.532046        0.078403
BFGS:   46 20:31:46    -1200.532732        0.057204
BFGS:   47 20:31:50    -1200.533572        0.056460
BFGS:   48 20:31:55    -1200.534396        0.055299
BFGS:   49 20:32:06    -1200.535052        0.047677
